id,title,category,description,price,stock,brand,weight
40,Strawberry,groceries,"Sweet and succulent strawberries, great for snacking, desserts, or blending into smoothies.",3.99,9,,4.0
41,Tissue Paper Box,groceries,"Convenient tissue paper box for everyday use, providing soft and absorbent tissues.",2.49,97,,3.0
42,Water,groceries,"Pure and refreshing bottled water, essential for staying hydrated throughout the day.",0.99,95,,2.0
43,Decoration Swing,home-decoration,"The Decoration Swing is a charming addition to your home decor. Crafted with intricate details, it adds a touch of elegance and whimsy to any room.",59.99,62,,8.0
44,Family Tree Photo Frame,home-decoration,"The Family Tree Photo Frame is a sentimental and stylish way to display your cherished family memories. With multiple photo slots, it tells the story of your loved ones.",29.99,34,,4.0
45,House Showpiece Plant,home-decoration,The House Showpiece Plant is an artificial plant that brings a touch of nature to your home without the need for maintenance. It adds greenery and style to any space.,39.99,89,,9.0
46,Plant Pot,home-decoration,"The Plant Pot is a stylish container for your favorite plants. With a sleek design, it complements your indoor or outdoor garden, adding a modern touch to your plant display.",14.99,70,,8.0
47,Table Lamp,home-decoration,"The Table Lamp is a functional and decorative lighting solution for your living space. With a modern design, it provides both ambient and task lighting, enhancing the atmosphere.",49.99,84,,2.0
48,Bamboo Spatula,kitchen-accessories,"The Bamboo Spatula is a versatile kitchen tool made from eco-friendly bamboo. Ideal for flipping, stirring, and serving various dishes.",7.99,0,,4.0
49,Black Aluminium Cup,kitchen-accessories,The Black Aluminium Cup is a stylish and durable cup suitable for both hot and cold beverages. Its sleek black design adds a modern touch to your drinkware collection.,5.99,42,,8.0
50,Black Whisk,kitchen-accessories,The Black Whisk is a kitchen essential for whisking and beating ingredients. Its ergonomic handle and sleek design make it a practical and stylish tool.,9.99,17,,6.0
51,Boxed Blender,kitchen-accessories,"The Boxed Blender is a powerful and compact blender perfect for smoothies, shakes, and more. Its convenient design and multiple functions make it a versatile kitchen appliance.",39.99,81,,10.0
52,Carbon Steel Wok,kitchen-accessories,"The Carbon Steel Wok is a versatile cooking pan suitable for stir-frying, sautéing, and deep frying. Its sturdy construction ensures even heat distribution for delicious meals.",29.99,2,,4.0
53,Chopping Board,kitchen-accessories,"The Chopping Board is an essential kitchen accessory for food preparation. Made from durable material, it provides a safe and hygienic surface for cutting and chopping.",12.99,53,,3.0
54,Citrus Squeezer Yellow,kitchen-accessories,The Citrus Squeezer in Yellow is a handy tool for extracting juice from citrus fruits. Its vibrant color adds a cheerful touch to your kitchen gadgets.,8.99,59,,9.0
55,Egg Slicer,kitchen-accessories,"The Egg Slicer is a convenient tool for slicing boiled eggs evenly. It's perfect for salads, sandwiches, and other dishes where sliced eggs are desired.",6.99,30,,5.0
56,Electric Stove,kitchen-accessories,The Electric Stove provides a portable and efficient cooking solution. Ideal for small kitchens or as an additional cooking surface for various culinary needs.,49.99,41,,9.0
57,Fine Mesh Strainer,kitchen-accessories,The Fine Mesh Strainer is a versatile tool for straining liquids and sifting dry ingredients. Its fine mesh ensures efficient filtering for smooth cooking and baking.,9.99,13,,6.0
58,Fork,kitchen-accessories,The Fork is a classic utensil for various dining and serving purposes. Its durable and ergonomic design makes it a reliable choice for everyday use.,3.99,10,,6.0
59,Glass,kitchen-accessories,The Glass is a versatile and elegant drinking vessel suitable for a variety of beverages. Its clear design allows you to enjoy the colors and textures of your drinks.,4.99,68,,5.0
60,Grater Black,kitchen-accessories,"The Grater in Black is a handy kitchen tool for grating cheese, vegetables, and more. Its sleek design and sharp blades make food preparation efficient and easy.",10.99,80,,3.0
61,Hand Blender,kitchen-accessories,"The Hand Blender is a versatile kitchen appliance for blending, pureeing, and mixing. Its compact design and powerful motor make it a convenient tool for various recipes.",34.99,8,,4.0
62,Ice Cube Tray,kitchen-accessories,The Ice Cube Tray is a practical accessory for making ice cubes in various shapes. Perfect for keeping your drinks cool and adding a fun element to your beverages.,5.99,81,,8.0
63,Kitchen Sieve,kitchen-accessories,The Kitchen Sieve is a versatile tool for sifting and straining dry and wet ingredients. Its fine mesh design ensures smooth results in your cooking and baking.,7.99,33,,5.0
64,Knife,kitchen-accessories,"The Knife is an essential kitchen tool for chopping, slicing, and dicing. Its sharp blade and ergonomic handle make it a reliable choice for food preparation.",14.99,59,,7.0
65,Lunch Box,kitchen-accessories,"The Lunch Box is a convenient and portable container for packing and carrying your meals. With compartments for different foods, it's perfect for on-the-go dining.",12.99,26,,1.0
66,Microwave Oven,kitchen-accessories,"The Microwave Oven is a versatile kitchen appliance for quick and efficient cooking, reheating, and defrosting. Its compact size makes it suitable for various kitchen setups.",89.99,27,,8.0
67,Mug Tree Stand,kitchen-accessories,The Mug Tree Stand is a stylish and space-saving solution for organizing your mugs. Keep your favorite mugs easily accessible and neatly displayed in your kitchen.,15.99,93,,7.0
68,Pan,kitchen-accessories,"The Pan is a versatile and essential cookware item for frying, sautéing, and cooking various dishes. Its non-stick coating ensures easy food release and cleanup.",24.99,40,,7.0
69,Plate,kitchen-accessories,The Plate is a classic and essential dishware item for serving meals. Its durable and stylish design makes it suitable for everyday use or special occasions.,3.99,30,,8.0
70,Red Tongs,kitchen-accessories,The Red Tongs are versatile kitchen tongs suitable for various cooking and serving tasks. Their vibrant color adds a pop of excitement to your kitchen utensils.,6.99,15,,3.0
71,Silver Pot With Glass Cap,kitchen-accessories,"The Silver Pot with Glass Cap is a stylish and functional cookware item for boiling, simmering, and preparing delicious meals. Its glass cap allows you to monitor cooking progress.",39.99,37,,9.0
72,Slotted Turner,kitchen-accessories,"The Slotted Turner is a kitchen utensil designed for flipping and turning food items. Its slotted design allows excess liquid to drain, making it ideal for frying and sautéing.",8.99,36,,4.0
73,Spice Rack,kitchen-accessories,The Spice Rack is a convenient organizer for your spices and seasonings. Keep your kitchen essentials within reach and neatly arranged with this stylish spice rack.,19.99,24,,8.0
74,Spoon,kitchen-accessories,"The Spoon is a versatile kitchen utensil for stirring, serving, and tasting. Its ergonomic design and durable construction make it an essential tool for every kitchen.",4.99,51,,9.0
75,Tray,kitchen-accessories,"The Tray is a functional and decorative item for serving snacks, appetizers, or drinks. Its stylish design makes it a versatile accessory for entertaining guests.",16.99,48,,8.0
76,Wooden Rolling Pin,kitchen-accessories,The Wooden Rolling Pin is a classic kitchen tool for rolling out dough for baking. Its smooth surface and sturdy handles make it easy to achieve uniform thickness.,11.99,80,,7.0
77,Yellow Peeler,kitchen-accessories,The Yellow Peeler is a handy tool for peeling fruits and vegetables with ease. Its bright yellow color adds a cheerful touch to your kitchen gadgets.,5.99,86,,4.0
137,American Football,sports-accessories,"The American Football is a classic ball used in American football games. It is designed for throwing and catching, making it an essential piece of equipment for the sport.",19.99,48,,9.0
138,Baseball Ball,sports-accessories,"The Baseball Ball is a standard baseball used in baseball games. It features a durable leather cover and is designed for pitching, hitting, and fielding in the game of baseball.",8.99,71,,6.0
139,Baseball Glove,sports-accessories,"The Baseball Glove is a protective glove worn by baseball players. It is designed to catch and field the baseball, providing players with comfort and control during the game.",24.99,43,,7.0
140,Basketball,sports-accessories,"The Basketball is a standard ball used in basketball games. It is designed for dribbling, shooting, and passing in the game of basketball, suitable for both indoor and outdoor play.",14.99,100,,10.0
141,Basketball Rim,sports-accessories,The Basketball Rim is a sturdy hoop and net assembly mounted on a basketball backboard. It provides a target for shooting and scoring in the game of basketball.,39.99,57,,7.0
142,Cricket Ball,sports-accessories,"The Cricket Ball is a hard leather ball used in the sport of cricket. It is bowled and batted in the game, and its hardness and seam contribute to the dynamics of cricket play.",12.99,42,,4.0
143,Cricket Bat,sports-accessories,The Cricket Bat is an essential piece of cricket equipment used by batsmen to hit the cricket ball. It is made of wood and comes in various sizes and designs.,29.99,3,,4.0
144,Cricket Helmet,sports-accessories,"The Cricket Helmet is a protective headgear worn by cricket players, especially batsmen and wicketkeepers. It provides protection against fast bowling and bouncers.",44.99,31,,4.0
145,Cricket Wicket,sports-accessories,"The Cricket Wicket is a set of three stumps and two bails, forming a wicket used in the sport of cricket. Batsmen aim to protect the wicket while scoring runs.",29.99,31,,2.0
146,Feather Shuttlecock,sports-accessories,"The Feather Shuttlecock is used in the sport of badminton. It features natural feathers and is designed for high-speed play, providing stability and accuracy during matches.",5.99,17,,7.0
147,Football,sports-accessories,"The Football, also known as a soccer ball, is the standard ball used in the sport of football (soccer). It is designed for kicking and passing in the game.",17.99,66,,1.0
148,Golf Ball,sports-accessories,"The Golf Ball is a small ball used in the sport of golf. It features dimples on its surface, providing aerodynamic lift and distance when struck by a golf club.",9.99,45,,1.0
149,Iron Golf,sports-accessories,"The Iron Golf is a type of golf club designed for various golf shots. It features a solid metal head and is used for approach shots, chipping, and other golfing techniques.",49.99,7,,5.0
150,Metal Baseball Bat,sports-accessories,The Metal Baseball Bat is a durable and lightweight baseball bat made from metal alloys. It is commonly used in baseball games for hitting and batting practice.,29.99,37,,4.0
151,Tennis Ball,sports-accessories,The Tennis Ball is a standard ball used in the sport of tennis. It is designed for bouncing and hitting with tennis rackets during matches or practice sessions.,6.99,99,,3.0
152,Tennis Racket,sports-accessories,"The Tennis Racket is an essential piece of equipment used in the sport of tennis. It features a frame with strings and a grip, allowing players to hit the tennis ball.",49.99,86,,2.0
153,Volleyball,sports-accessories,"The Volleyball is a standard ball used in the sport of volleyball. It is designed for passing, setting, and spiking over the net during volleyball matches.",11.99,0,,6.0
162,Blue Frock,tops,"The Blue Frock is a charming and stylish dress for various occasions. With a vibrant blue color and a comfortable design, it adds a touch of elegance to your wardrobe.",29.99,37,,2.0
163,Girl Summer Dress,tops,"The Girl Summer Dress is a cute and breezy dress designed for warm weather. With playful patterns and lightweight fabric, it's perfect for keeping cool and stylish during the summer.",19.99,20,,3.0
164,Gray Dress,tops,"The Gray Dress is a versatile and chic option for various occasions. With a neutral gray color, it can be dressed up or down, making it a wardrobe staple for any fashion-forward individual.",34.99,81,,5.0
165,Short Frock,tops,"The Short Frock is a playful and trendy dress with a shorter length. Ideal for casual outings or special occasions, it combines style and comfort for a fashionable look.",24.99,19,,8.0
166,Tartan Dress,tops,"The Tartan Dress features a classic tartan pattern, bringing a timeless and sophisticated touch to your wardrobe. Perfect for fall and winter, it adds a hint of traditional charm.",39.99,100,,4.0
177,Black Women's Gown,womens-dresses,"The Black Women's Gown is an elegant and timeless evening gown. With a sleek black design, it's perfect for formal events and special occasions, exuding sophistication and style.",129.99,59,,7.0
178,Corset Leather With Skirt,womens-dresses,"The Corset Leather With Skirt is a bold and edgy ensemble that combines a stylish corset with a matching skirt. Ideal for fashion-forward individuals, it makes a statement at any event.",89.99,59,,1.0
179,Corset With Black Skirt,womens-dresses,The Corset With Black Skirt is a chic and versatile outfit that pairs a fashionable corset with a classic black skirt. It offers a trendy and coordinated look for various occasions.,79.99,67,,6.0
180,Dress Pea,womens-dresses,"The Dress Pea is a stylish and comfortable dress with a pea pattern. Perfect for casual outings, it adds a playful and fun element to your wardrobe, making it a great choice for day-to-day wear.",49.99,29,,7.0
181,Marni Red & Black Suit,womens-dresses,"The Marni Red & Black Suit is a sophisticated and fashion-forward suit ensemble. With a combination of red and black tones, it showcases a modern design for a bold and confident look.",179.99,15,,4.0
182,Green Crystal Earring,womens-jewellery,"The Green Crystal Earring is a dazzling accessory that features a vibrant green crystal. With a classic design, it adds a touch of elegance to your ensemble, perfect for formal or special occasions.",29.99,1,,10.0
183,Green Oval Earring,womens-jewellery,"The Green Oval Earring is a stylish and versatile accessory with a unique oval shape. Whether for casual or dressy occasions, its green hue and contemporary design make it a standout piece.",24.99,89,,8.0
184,Tropical Earring,womens-jewellery,"The Tropical Earring is a fun and playful accessory inspired by tropical elements. Featuring vibrant colors and a lively design, it's perfect for adding a touch of summer to your look.",19.99,76,,9.0
99,Amazon Echo Plus,mobile-accessories,The Amazon Echo Plus is a smart speaker with built-in Alexa voice control. It features premium sound quality and serves as a hub for controlling smart home devices.,99.99,50,Amazon,7.0
11,Annibale Colombo Bed,furniture,"The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.",1899.99,47,Annibale Colombo,3.0
12,Annibale Colombo Sofa,furniture,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.",2499.99,16,Annibale Colombo,3.0
78,Apple MacBook Pro 14 Inch Space Grey,laptops,"The MacBook Pro 14 Inch in Space Grey is a powerful and sleek laptop, featuring Apple's M1 Pro chip for exceptional performance and a stunning Retina display.",1999.99,39,Apple,4.0
100,Apple Airpods,mobile-accessories,"The Apple Airpods offer a seamless wireless audio experience. With easy pairing, high-quality sound, and Siri integration, they are perfect for on-the-go listening.",129.99,93,Apple,3.0
101,Apple AirPods Max Silver,mobile-accessories,"The Apple AirPods Max in Silver are premium over-ear headphones with high-fidelity audio, adaptive EQ, and active noise cancellation. Experience immersive sound in style.",549.99,7,Apple,4.0
102,Apple Airpower Wireless Charger,mobile-accessories,The Apple AirPower Wireless Charger provides a convenient way to charge your compatible Apple devices wirelessly. Simply place your devices on the charging mat for effortless charging.,79.99,78,Apple,3.0
103,Apple HomePod Mini Cosmic Grey,mobile-accessories,The Apple HomePod Mini in Cosmic Grey is a compact smart speaker that delivers impressive audio and integrates seamlessly with the Apple ecosystem for a smart home experience.,99.99,65,Apple,2.0
104,Apple iPhone Charger,mobile-accessories,The Apple iPhone Charger is a high-quality charger designed for fast and efficient charging of your iPhone. Ensure your device stays powered up and ready to go.,19.99,4,Apple,5.0
105,Apple MagSafe Battery Pack,mobile-accessories,The Apple MagSafe Battery Pack is a portable and convenient way to add extra battery life to your MagSafe-compatible iPhone. Attach it magnetically for a secure connection.,99.99,80,Apple,6.0
106,Apple Watch Series 4 Gold,mobile-accessories,"The Apple Watch Series 4 in Gold is a stylish and advanced smartwatch with features like heart rate monitoring, fitness tracking, and a beautiful Retina display.",349.99,68,Apple,6.0
108,iPhone 12 Silicone Case with MagSafe Plum,mobile-accessories,The iPhone 12 Silicone Case with MagSafe in Plum is a stylish and protective case designed for the iPhone 12. It features MagSafe technology for easy attachment of accessories.,29.99,51,Apple,5.0
121,iPhone 5s,smartphones,"The iPhone 5s is a classic smartphone known for its compact design and advanced features during its release. While it's an older model, it still provides a reliable user experience.",199.99,65,Apple,4.0
122,iPhone 6,smartphones,"The iPhone 6 is a stylish and capable smartphone with a larger display and improved performance. It introduced new features and design elements, making it a popular choice in its time.",299.99,99,Apple,8.0
123,iPhone 13 Pro,smartphones,"The iPhone 13 Pro is a cutting-edge smartphone with a powerful camera system, high-performance chip, and stunning display. It offers advanced features for users who demand top-notch technology.",1099.99,26,Apple,8.0
124,iPhone X,smartphones,"The iPhone X is a flagship smartphone featuring a bezel-less OLED display, facial recognition technology (Face ID), and impressive performance. It represents a milestone in iPhone design and innovation.",899.99,99,Apple,10.0
159,iPad Mini 2021 Starlight,tablets,"The iPad Mini 2021 in Starlight is a compact and powerful tablet from Apple. Featuring a stunning Retina display, powerful A-series chip, and a sleek design, it offers a premium tablet experience.",499.99,32,Apple,3.0
79,Asus Zenbook Pro Dual Screen Laptop,laptops,"The Asus Zenbook Pro Dual Screen Laptop is a high-performance device with dual screens, providing productivity and versatility for creative professionals.",1799.99,38,Asus,8.0
118,Attitude Super Leaves Hand Soap,skin-care,"Attitude Super Leaves Hand Soap is a natural and nourishing hand soap enriched with the goodness of super leaves. It cleanses and moisturizes your hands, leaving them feeling fresh and soft.",8.99,98,Attitude,6.0
15,Wooden Bathroom Sink With Mirror,furniture,"The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.",799.99,95,Bath Trends,6.0
107,Beats Flex Wireless Earphones,mobile-accessories,"The Beats Flex Wireless Earphones offer a comfortable and versatile audio experience. With magnetic earbuds and up to 12 hours of battery life, they are ideal for everyday use.",49.99,49,Beats,6.0
6,Calvin Klein CK One,fragrances,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",49.99,17,Calvin Klein,5.0
186,Calvin Klein Heel Shoes,womens-shoes,"Calvin Klein Heel Shoes are elegant and sophisticated, designed for formal occasions. With a classic design and high-quality materials, they complement your stylish ensemble.",79.99,99,Calvin Klein,1.0
86,Man Short Sleeve Shirt,mens-shirts,"The Man Short Sleeve Shirt is a breezy and stylish option for warm days. With a comfortable fit and short sleeves, it's perfect for a laid-back yet polished look.",19.99,20,Casual Comfort,2.0
7,Chanel Coco Noir Eau De,fragrances,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",129.99,41,Chanel,4.0
4,Red Lipstick,beauty,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",12.99,68,Chic Cosmetics,5.0
167,300 Touring,vehicle,"The 300 Touring is a stylish and comfortable sedan, known for its luxurious features and smooth performance.",28999.99,53,Chrysler,5.0
171,Pacifica Touring,vehicle,"The Pacifica Touring is a stylish and well-equipped minivan, offering comfort and convenience for family journeys.",31999.99,22,Chrysler,8.0
85,Man Plaid Shirt,mens-shirts,The Man Plaid Shirt is a timeless and versatile men's shirt with a classic plaid pattern. Its comfortable fit and casual style make it a wardrobe essential for various occasions.,34.99,65,Classic Wear,1.0
185,Black & Brown Slipper,womens-shoes,"The Black & Brown Slipper is a comfortable and stylish choice for casual wear. Featuring a blend of black and brown colors, it adds a touch of sophistication to your relaxation.",19.99,80,Comfort Trends,9.0
82,New DELL XPS 13 9300 Laptop,laptops,"The New DELL XPS 13 9300 Laptop is a compact and powerful device, featuring a virtually borderless InfinityEdge display and high-end performance for various tasks.",1499.99,18,Dell,10.0
8,Dior J'adore,fragrances,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",89.99,91,Dior,10.0
168,Charger SXT RWD,vehicle,"The Charger SXT RWD is a powerful and sporty rear-wheel-drive sedan, offering a blend of performance and practicality.",32999.99,85,Dodge,8.0
169,Dodge Hornet GT Plus,vehicle,"The Dodge Hornet GT Plus is a compact and agile hatchback, perfect for urban driving with a touch of sportiness.",24999.99,81,Dodge,10.0
170,Durango SXT RWD,vehicle,"The Durango SXT RWD is a spacious and versatile SUV, known for its strong performance and family-friendly features.",36999.99,0,Dodge,8.0
9,Dolce Shine Eau de,fragrances,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",69.99,3,Dolce & Gabbana,5.0
176,Women Handbag Black,womens-bags,"The Women Handbag in Black is a classic and versatile accessory that complements various outfits. With a timeless black color and functional design, it's a must-have in every woman's wardrobe.",59.99,24,Elegance Collection,1.0
1,Essence Mascara Lash Princess,beauty,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,9.99,5,Essence,2.0
194,Women's Wrist Watch,womens-watches,"The Women's Wrist Watch is a versatile and fashionable timepiece for everyday wear. With a comfortable strap and a simple yet elegant design, it complements various styles.",129.99,55,Fashion Co.,8.0
187,Golden Shoes Woman,womens-shoes,"The Golden Shoes for Women are a glamorous choice for special occasions. Featuring a golden hue and stylish design, they add a touch of luxury to your outfit.",49.99,99,Fashion Diva,3.0
189,Red Shoes,womens-shoes,"The Red Shoes make a bold statement with their vibrant red color. Whether for a party or a casual outing, these shoes add a pop of color and style to your wardrobe.",34.99,53,Fashion Express,5.0
157,Party Glasses,sunglasses,"The Party Glasses are designed to add flair to your party outfit. With unique shapes or colorful frames, they're perfect for adding a playful touch to your look during celebrations.",19.99,35,Fashion Fun,1.0
193,Watch Gold for Women,womens-watches,"The Gold Women's Watch is a stunning accessory that combines luxury and style. Featuring a gold-plated case and a chic design, it adds a touch of glamour to any outfit.",799.99,94,Fashion Gold,8.0
154,Black Sun Glasses,sunglasses,"The Black Sun Glasses are a classic and stylish choice, featuring a sleek black frame and tinted lenses. They provide both UV protection and a fashionable look.",29.99,100,Fashion Shades,3.0
155,Classic Sun Glasses,sunglasses,The Classic Sun Glasses offer a timeless design with a neutral frame and UV-protected lenses. These sunglasses are versatile and suitable for various occasions.,24.99,100,Fashion Shades,9.0
156,Green and Black Glasses,sunglasses,"The Green and Black Glasses feature a bold combination of green and black colors, adding a touch of vibrancy to your eyewear collection. They are both stylish and eye-catching.",34.99,74,Fashion Shades,9.0
158,Sunglasses,sunglasses,The Sunglasses offer a classic and simple design with a focus on functionality. These sunglasses provide essential UV protection while maintaining a timeless look.,22.99,59,Fashion Shades,6.0
93,Brown Leather Belt Watch,mens-watches,"The Brown Leather Belt Watch is a stylish timepiece with a classic design. Featuring a genuine leather strap and a sleek dial, it adds a touch of sophistication to your look.",89.99,69,Fashion Timepieces,10.0
83,Blue & Black Check Shirt,mens-shirts,"The Blue & Black Check Shirt is a stylish and comfortable men's shirt featuring a classic check pattern. Made from high-quality fabric, it's suitable for both casual and semi-formal occasions.",29.99,44,Fashion Trends,6.0
172,Blue Women's Handbag,womens-bags,"The Blue Women's Handbag is a stylish and spacious accessory for everyday use. With a vibrant blue color and multiple compartments, it combines fashion and functionality.",49.99,76,Fashionista,2.0
13,Bedside Table African Cherry,furniture,"The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.",299.99,16,Furniture Co.,10.0
110,Selfie Lamp with iPhone,mobile-accessories,The Selfie Lamp with iPhone is a portable and adjustable LED light designed to enhance your selfies and video calls. Attach it to your iPhone for well-lit photos.,14.99,89,GadgetMaster,7.0
113,Generic Motorcycle,motorcycle,"The Generic Motorcycle is a versatile and reliable bike suitable for various riding preferences. With a balanced design, it provides a comfortable and efficient riding experience.",3999.99,63,Generic Motors,9.0
84,Gigabyte Aorus Men Tshirt,mens-shirts,"The Gigabyte Aorus Men Tshirt is a cool and casual shirt for gaming enthusiasts. With the Aorus logo and sleek design, it's perfect for expressing your gaming style.",24.99,64,Gigabyte,2.0
2,Eyeshadow Palette with Mirror,beauty,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",19.99,44,Glamour Beauty,3.0
10,Gucci Bloom Eau de,fragrances,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",79.99,93,Gucci,10.0
173,Heshe Women's Leather Bag,womens-bags,"The Heshe Women's Leather Bag is a luxurious and high-quality leather bag for the sophisticated woman. With a timeless design and durable craftsmanship, it's a versatile accessory.",129.99,9,Heshe,5.0
80,Huawei Matebook X Pro,laptops,"The Huawei Matebook X Pro is a slim and stylish laptop with a high-resolution touchscreen display, offering a premium experience for users on the go.",1399.99,34,Huawei,9.0
190,IWC Ingenieur Automatic Steel,womens-watches,"The IWC Ingenieur Automatic Steel watch is a durable and sophisticated timepiece. With a stainless steel case and automatic movement, it combines precision and style for watch enthusiasts.",4999.99,85,IWC,4.0
114,Kawasaki Z800,motorcycle,"The Kawasaki Z800 is a powerful and agile sportbike known for its striking design and performance. It's equipped with advanced features, making it a favorite among motorcycle enthusiasts.",8999.99,88,Kawasaki,7.0
14,Knoll Saarinen Executive Conference Chair,furniture,"The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.",499.99,47,Knoll,3.0
81,Lenovo Yoga 920,laptops,"The Lenovo Yoga 920 is a 2-in-1 convertible laptop with a flexible hinge, allowing you to use it as a laptop or tablet, offering versatility and portability.",1099.99,71,Lenovo,7.0
94,Longines Master Collection,mens-watches,"The Longines Master Collection is an elegant and refined watch known for its precision and craftsmanship. With a timeless design, it's a symbol of luxury and sophistication.",1499.99,65,Longines,2.0
115,MotoGP CI.H1,motorcycle,The MotoGP CI.H1 is a high-performance motorcycle inspired by MotoGP racing technology. It offers cutting-edge features and precision engineering for an exhilarating riding experience.,14999.99,85,MotoGP,9.0
5,Red Nail Polish,beauty,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",8.99,71,Nail Couture,9.0
88,Nike Air Jordan 1 Red And Black,mens-shoes,"The Nike Air Jordan 1 in Red and Black is an iconic basketball sneaker known for its stylish design and high-performance features, making it a favorite among sneaker enthusiasts and athletes.",149.99,15,Nike,5.0
89,Nike Baseball Cleats,mens-shoes,Nike Baseball Cleats are designed for maximum traction and performance on the baseball field. They provide stability and support for players during games and practices.,79.99,14,Nike,7.0
91,Sports Sneakers Off White & Red,mens-shoes,"The Sports Sneakers in Off White and Red combine style and functionality, making them a fashionable choice for sports enthusiasts. The red and off-white color combination adds a bold and energetic touch.",119.99,73,Off White,3.0
92,Sports Sneakers Off White Red,mens-shoes,"Another variant of the Sports Sneakers in Off White Red, featuring a unique design. These sneakers offer style and comfort for casual occasions.",109.99,75,Off White,4.0
119,Olay Ultra Moisture Shea Butter Body Wash,skin-care,Olay Ultra Moisture Shea Butter Body Wash is a luxurious body wash that hydrates and nourishes your skin with the moisturizing power of shea butter. Enjoy a rich lather and silky-smooth skin.,12.99,43,Olay,8.0
